
2023/12/05 (23:15:07) | ===> btop++ v.1.2.13
2023/12/05 (23:15:07) | INFO: Logger set to DEBUG
2023/12/05 (23:15:07) | DEBUG: Setting LC_ALL=en_US.UTF-8
2023/12/05 (23:15:07) | INFO: Running on /dev/pts/2
2023/12/05 (23:15:07) | DEBUG: Loading theme file: /usr/share/btop/themes/onedark.theme
2023/12/05 (23:15:26) | DEBUG: Writing new config file
2023/12/05 (23:15:26) | INFO: Quitting! Runtime: 00:00:19

2023/12/09 (23:18:07) | ===> btop++ v.1.2.13
2023/12/09 (23:18:07) | INFO: Logger set to DEBUG
2023/12/09 (23:18:07) | DEBUG: Setting LC_ALL=en_US.UTF-8
2023/12/09 (23:18:07) | INFO: Running on /dev/pts/4
2023/12/09 (23:18:07) | DEBUG: Loading theme file: /usr/share/btop/themes/onedark.theme
2023/12/09 (23:24:21) | INFO: Quitting! Runtime: 00:06:14

2023/12/09 (23:24:24) | ===> btop++ v.1.2.13
2023/12/09 (23:24:24) | INFO: Logger set to DEBUG
2023/12/09 (23:24:24) | DEBUG: Setting LC_ALL=en_US.UTF-8
2023/12/09 (23:24:24) | INFO: Running on /dev/pts/1
2023/12/09 (23:24:24) | DEBUG: Loading theme file: /usr/share/btop/themes/onedark.theme
2023/12/09 (23:24:27) | INFO: Quitting! Runtime: 00:00:03
